Config,Scale X,Scale Y,Angle,MSE,MAE,PSNR
1,3,3,0,0.026090136552724245,0.10827914667575952,15.835236478472904
2,4,2,0,0.02610815576896222,0.10856617769940542,15.832238048392854
3,2,4,0,0.02605499973652416,0.10801228284908976,15.84108926888934
4,3,1,45,0.025582057919543422,0.10692295062870118,15.920645221266037
5,1,3,-45,0.025582057919543422,0.10692295062870118,15.920645221266037
